texto,produto,fonte_promocao,aspecto,aspecto_detectado,sentimento_aspecto,sentimento_previsto,fonte_classificacao,absa_resultado,absa_correto
"Amei demais a caixa de som, ótima qualidade, loja super confiável sou do estado do Pará, porém muito longe da capital, afuá Pará",JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Ótima caixa, chegou no prazo ela é potente original",JBL Boombox 4,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
"A caixa é bonita, toca muito bem, ainda depois da atualização que ela ficou melhor ainda.",JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Super satisfeita com a qualidade do som. Produto ótimo, original, podem comprar sem medo de ser feliz. Potência perfeita",JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Veio certinho, poderia pelo menos vir embalada.",JBL Boombox 4,Double Date,entrega,qualidade,negativo,positivo,lexico,qualidade:positivo,False
Gostei de mais chegou certinho e dentro do prazo recomendo muito!!,JBL Boombox 4,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
"Venda excelente, chegou até antes do tempo, quanto ao produto PERFEITO.",JBL Boombox 4,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
Produto de qualidade 100% original loja top! Com nota fiscal!,JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Chegou certinho, so acho que deveria vir em uma embalagem que proporcionasse uma segurança, com lacres..",JBL Boombox 4,Double Date,entrega,entrega,negativo,positivo,bertimbau,entrega:positivo,False
"Som muito potente e de boa qualidade, produto original, vale ressaltar que demorou a enviar e a caixa não veio com nenhuma proteção extra, chegou rasgada, amassada e com os selos soltos, precisa melhorar isso",JBL Boombox 4,Double Date,entrega,qualidade,negativo,neutro,lexico,qualidade:neutro,False
Ótima caixa a melhor que já pode testar,JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Tenho a caixa 520, maravilhosa, e essa sem dúvidas top também.",JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
muito linda qualidade absurda da JBL nessa caixa ótimo dms,JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
Produto muito bom,JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
Demorou quase uma semana pra enviar mas chegou no prazo,JBL Boombox 4,Double Date,entrega,entrega,neutro,negativo,lexico,entrega:negativo,False
Caixa top. Conforme o anunciado,JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,bertimbau,qualidade:positivo,True
Recomendo a loja nota 10,JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Chegou aberto, o lacre plástico o vendedor tema em enviar a caixa de som sem embala da nisso, ainda não testei",JBL Boombox 4,Double Date,entrega,entrega,negativo,positivo,bertimbau,entrega:positivo,False
Produto top demais só a embalagem deixou muito a desejar teria q ter mais cuidado,JBL Boombox 4,Double Date,entrega,entrega,negativo,positivo,lexico,entrega:positivo,False
"Entregou dentro do prazo, porém a caixa estão colocando objetos pesados encima, rasgando-se a caixa. deveria ter mais cuidado",JBL Boombox 4,Double Date,entrega,entrega,negativo,negativo,bertimbau,entrega:negativo,True
Caixa de excelente qualidade!!!,JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"a caixa veio aberta sem o lacre da JBL mas no final estava tudo correto, caixa original",JBL Boombox 4,Double Date,qualidade,qualidade,neutro,positivo,lexico,qualidade:positivo,False
"Caixa muito bonita, e entrega rápida.",JBL Boombox 4,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
boombox 4 é show!!,JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,bertimbau,qualidade:positivo,True
"Fiquei decepcionado pois achei que ia abrir a caixa lacrada. E também não veio com a nota fiscal, vou pedir a loja agora mesmo. Pq fiquei com dúvida sobre a integridade do produto",JBL Boombox 4,Double Date,qualidade,qualidade,negativo,negativo,lexico,qualidade:negativo,True
Chegou bem embalado. Tudo certo. Som potente,JBL Boombox 4,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
Chegou rápido muito top,JBL Boombox 4,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
Ótimo produto,JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Muito boa, sim ótimo",JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
Muito boa. Maravilha,JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"A caixa Boombox 4 foi enviada sem nenhum tipo de proteção, veio só na embalagem da própria caixa. Deveria ter mais cuidado com o pedido, principalmente por ser algo que não é barato.",JBL Boombox 4,Double Date,entrega,preço,negativo,negativo,bertimbau,preço:negativo,False
Qualidade sonora com portabilidade!,JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,bertimbau,qualidade:positivo,True
Indico o produto e o vendedor,JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,bertimbau,qualidade:positivo,True
Som veio em perfeito estado! Porém a caixa poderia vim coberta e com selo de frágil... o lacre em cima tava aberto. Mas veio completo!,JBL Boombox 4,Double Date,entrega,qualidade,negativo,neutro,lexico,qualidade:neutro,False
Pode comprar produto muito bom,JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
Bom gostei muito do produto da marca da pra usar perfeitamente gostei muito da loja,JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Chegou direitinho, tudo bem embalado, mas faltou a nota fiscal",JBL Boombox 4,Double Date,entrega,entrega,negativo,positivo,lexico,entrega:positivo,False
Ótimos produtos entrega rápida produtos originais so deveria vim com uma proteção na caixa original teve poucas rachadura na caixa mais tranquilo precisa reforçar mais,JBL Boombox 4,Double Date,entrega,qualidade,negativo,positivo,lexico,qualidade:positivo,False
